subheading,subheading_text,chapter,heading_text,chapter_text,heading,domain,prior_class,prior_label,nli_prob_1,nli_prob_2,nli_prob_3,nli_prob_4,nli_prob_5,nli_class,nli_label,nli_uncertainty,prior_nli_agree
721650,"Iron or non-alloy steel: angles, shapes and sections, n.e.c. in heading no. 7216, hot-rolled, hot-drawn or extruded",72,"Iron or non-alloy steel, angles, shapes and sections",Iron and steel,7216,D4,2.0,Primary Processed,0.006873805679182356,0.030592648925019384,0.014919398651241391,0.9317019172307022,0.01591222951385466,4,Manufactured Component,0.2084,False
721730,"Iron or non-alloy steel: wire, plated or coated with base metals (other than zinc)",72,Wire of iron or non-alloy steel,Iron and steel,7217,D4,2.0,Primary Processed,0.04618315390090802,0.02136046249166045,0.05341973145786723,0.83653598868002,0.04250066346954431,4,Manufactured Component,0.4127,False
721230,"Iron or non-alloy steel: flat-rolled, width less than 600mm, plated or coated with zinc (not electrolytically)",72,"Iron or non-alloy steel; flat-rolled products, width less than 600mm, clad, plated or coated",Iron and steel,7212,D4,2.0,Primary Processed,0.025910618748911422,0.013915764686307485,0.02689659509422612,0.9119631987796425,0.021313822690912438,4,Manufactured Component,0.2594,False
720927,"Iron or non-alloy steel: (not in coils), flat-rolled, width 600mm or more, cold-rolled, of a thickness of 0.5mm or more but not exceeding 1mm",72,"Iron or non-alloy steel; flat-rolled products, width 600mm or more, cold-rolled (cold-reduced), not clad, plated or coated",Iron and steel,7209,D4,2.0,Primary Processed,0.016971376646733226,0.031017908523759862,0.01793011926880706,0.9023063636613485,0.03177423189935137,4,Manufactured Component,0.2804,False
721632,"Iron or non-alloy steel: I sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",72,"Iron or non-alloy steel, angles, shapes and sections",Iron and steel,7216,D4,2.0,Primary Processed,0.005329494898803912,0.017622074661994377,0.026631086943217596,0.9384515778383927,0.011965765657591398,4,Manufactured Component,0.1915,False
720529,"Iron or steel, pig iron, spiegeleisen: powders (excluding alloy steel)",72,"Granules and powders, of pig iron, spiegeleisen, iron or steel",Iron and steel,7205,D4,2.0,Primary Processed,0.10422564926491325,0.06655885949851358,0.05149902718329027,0.7162286559168772,0.061487808136405704,4,Manufactured Component,0.6085,False
721699,"Iron or non-alloy steel: angles, shapes and sections, n.e.c. in heading no. 7216",72,"Iron or non-alloy steel, angles, shapes and sections",Iron and steel,7216,D4,2.0,Primary Processed,0.013068632624358756,0.021386553259339424,0.016794834802140994,0.9256768511117772,0.023073128202383622,4,Manufactured Component,0.2274,False
721310,"Iron or non-alloy steel: bars and rods, hot-rolled, in irregularly wound coils, containing indentations, ribs, grooves or other deformations produced during the rolling process",72,"Iron or non-alloy steel; bars and rods, hot-rolled, in irregularly wound coils",Iron and steel,7213,D4,2.0,Primary Processed,0.0042654883339424965,0.00803291091856344,0.00970212976388802,0.9704868075908696,0.0075126633927364165,4,Manufactured Component,0.1074,False
721691,"Iron or non-alloy steel: angles, shapes and sections, n.e.c. in heading no. 7216, cold-formed or cold-finished, from flat-rolled products",72,"Iron or non-alloy steel, angles, shapes and sections",Iron and steel,7216,D4,2.0,Primary Processed,0.009643178558912594,0.018475294354049602,0.019666688773160468,0.9208631635569821,0.03135167475689524,4,Manufactured Component,0.2363,False
721790,"Iron or non-alloy steel: wire, n.e.c. in heading no. 7217",72,Wire of iron or non-alloy steel,Iron and steel,7217,D4,2.0,Primary Processed,0.031456179213758276,0.03744591316329137,0.028695921703519187,0.8598880575622307,0.042513928357200435,4,Manufactured Component,0.3714,False
